UniqueName, UnlocalizedName, LocalizedName, Metadata
minecraft:stone, tile.stone.stone.name, Stone, 0
minecraft:stone, tile.stone.granite.name, Granite, 1
minecraft:stone, tile.stone.graniteSmooth.name, Polished Granite, 2
minecraft:stone, tile.stone.diorite.name, Diorite, 3
minecraft:stone, tile.stone.dioriteSmooth.name, Polished Diorite, 4
minecraft:stone, tile.stone.andesite.name, Andesite, 5
minecraft:stone, tile.stone.andesiteSmooth.name, Polished Andesite, 6
minecraft:grass, tile.grass.name, Grass Block, 0
minecraft:dirt, tile.dirt.default.name, Dirt, 0
minecraft:dirt, tile.dirt.coarse.name, Coarse Dirt, 1
minecraft:dirt, tile.dirt.podzol.name, Podzol, 2
minecraft:cobblestone, tile.stonebrick.name, Cobblestone, 0
minecraft:planks, tile.wood.oak.name, Oak Wood Planks, 0
minecraft:planks, tile.wood.spruce.name, Spruce Wood Planks, 1
minecraft:planks, tile.wood.birch.name, Birch Wood Planks, 2
minecraft:planks, tile.wood.jungle.name, Jungle Wood Planks, 3
minecraft:planks, tile.wood.acacia.name, Acacia Wood Planks, 4
minecraft:planks, tile.wood.big_oak.name, Dark Oak Wood Planks, 5
minecraft:sapling, tile.sapling.oak.name, Oak Sapling, 0
minecraft:sapling, tile.sapling.spruce.name, Spruce Sapling, 1
minecraft:sapling, tile.sapling.birch.name, Birch Sapling, 2
minecraft:sapling, tile.sapling.jungle.name, Jungle Sapling, 3
minecraft:sapling, tile.sapling.acacia.name, Acacia Sapling, 4
minecraft:sapling, tile.sapling.big_oak.name, Dark Oak Sapling, 5
minecraft:bedrock, tile.bedrock.name, Bedrock, 0
minecraft:sand, tile.sand.default.name, Sand, 0
minecraft:sand, tile.sand.red.name, Red Sand, 1
minecraft:gravel, tile.gravel.name, Gravel, 0
minecraft:gold_ore, tile.oreGold.name, Gold Ore, 0
minecraft:iron_ore, tile.oreIron.name, Iron Ore, 0
minecraft:coal_ore, tile.oreCoal.name, Coal Ore, 0
minecraft:log, tile.log.oak.name, Oak Wood, 0
minecraft:log, tile.log.spruce.name, Spruce Wood, 1
minecraft:log, tile.log.birch.name, Birch Wood, 2
minecraft:log, tile.log.jungle.name, Jungle Wood, 3
minecraft:leaves, tile.leaves.oak.name, Oak Leaves, 0
minecraft:leaves, tile.leaves.spruce.name, Spruce Leaves, 1
minecraft:leaves, tile.leaves.birch.name, Birch Leaves, 2
minecraft:leaves, tile.leaves.jungle.name, Jungle Leaves, 3
minecraft:sponge, tile.sponge.dry.name, Sponge, 0
minecraft:sponge, tile.sponge.wet.name, Wet Sponge, 1
minecraft:glass, tile.glass.name, Glass, 0
minecraft:lapis_ore, tile.oreLapis.name, Lapis Lazuli Ore, 0
minecraft:lapis_block, tile.blockLapis.name, Lapis Lazuli Block, 0
minecraft:dispenser, tile.dispenser.name, Dispenser, 0
minecraft:sandstone, tile.sandStone.default.name, Sandstone, 0
minecraft:sandstone, tile.sandStone.chiseled.name, Chiseled Sandstone, 1
minecraft:sandstone, tile.sandStone.smooth.name, Smooth Sandstone, 2
minecraft:noteblock, tile.musicBlock.name, Note Block, 0
minecraft:golden_rail, tile.goldenRail.name, Powered Rail, 0
minecraft:detector_rail, tile.detectorRail.name, Detector Rail, 0
minecraft:sticky_piston, tile.pistonStickyBase.name, Sticky Piston, 0
minecraft:web, tile.web.name, Cobweb, 0
minecraft:tallgrass, tile.tallgrass.grass.name, Grass, 1
minecraft:tallgrass, tile.tallgrass.fern.name, Fern, 2
minecraft:deadbush, tile.deadbush.name, Dead Bush, 0
