UniqueId, RegistryName, ModId, UnlocalizedName, LocalizedName
0, minecraft:protection, minecraft, enchantment.protect.all, Protection
1, minecraft:fire_protection, minecraft, enchantment.protect.fire, Fire Protection
2, minecraft:feather_falling, minecraft, enchantment.protect.fall, Feather Falling
3, minecraft:blast_protection, minecraft, enchantment.protect.explosion, Blast Protection
4, minecraft:projectile_protection, minecraft, enchantment.protect.projectile, Projectile Protection
5, minecraft:respiration, minecraft, enchantment.oxygen, Respiration
6, minecraft:aqua_affinity, minecraft, enchantment.waterWorker, Aqua Affinity
7, minecraft:thorns, minecraft, enchantment.thorns, Thorns
8, minecraft:depth_strider, minecraft, enchantment.waterWalker, Depth Strider
9, minecraft:frost_walker, minecraft, enchantment.frostWalker, Frost Walker
10, minecraft:binding_curse, minecraft, enchantment.binding_curse, Curse of Binding
16, minecraft:sharpness, minecraft, enchantment.damage.all, Sharpness
17, minecraft:smite, minecraft, enchantment.damage.undead, Smite
18, minecraft:bane_of_arthropods, minecraft, enchantment.damage.arthropods, Bane of Arthropods
19, minecraft:knockback, minecraft, enchantment.knockback, Knockback
20, minecraft:fire_aspect, minecraft, enchantment.fire, Fire Aspect
21, minecraft:looting, minecraft, enchantment.lootBonus, Looting
22, minecraft:sweeping, minecraft, enchantment.sweeping, Sweeping Edge
32, minecraft:efficiency, minecraft, enchantment.digging, Efficiency
33, minecraft:silk_touch, minecraft, enchantment.untouching, Silk Touch
34, minecraft:unbreaking, minecraft, enchantment.durability, Unbreaking
35, minecraft:fortune, minecraft, enchantment.lootBonusDigger, Fortune
48, minecraft:power, minecraft, enchantment.arrowDamage, Power
49, minecraft:punch, minecraft, enchantment.arrowKnockback, Punch
50, minecraft:flame, minecraft, enchantment.arrowFire, Flame
51, minecraft:infinity, minecraft, enchantment.arrowInfinite, Infinity
61, minecraft:luck_of_the_sea, minecraft, enchantment.lootBonusFishing, Luck of the Sea
62, minecraft:lure, minecraft, enchantment.fishingSpeed, Lure
70, minecraft:mending, minecraft, enchantment.mending, Mending
71, minecraft:vanishing_curse, minecraft, enchantment.vanishing_curse, Curse of Vanishing
#output time is 5 ms.
